tank.number,Date.Time,Temp
2,10/12/19 12:01,25.416
2,10/12/19 12:01,
2,10/12/19 12:31,25.416
2,10/12/19 13:01,25.416
2,10/12/19 13:31,25.61
2,10/12/19 14:01,26.097
2,10/12/19 14:31,26.292
2,10/12/19 15:01,26.585
2,10/12/19 15:31,26.39
2,10/12/19 16:01,26.585
2,10/12/19 16:31,26.683
2,10/12/19 17:01,26.585
2,10/12/19 17:31,26.488
2,10/12/19 18:01,26.488
2,10/12/19 18:31,26.488
2,10/12/19 19:01,26.39
2,10/12/19 19:22,
2,10/12/19 19:25,
2,10/12/19 19:31,26.195
2,10/12/19 20:01,26.39
2,10/12/19 20:31,26.292
2,10/12/19 21:01,26.195
2,10/12/19 21:31,26.097
2,10/12/19 22:01,26
2,10/12/19 22:31,25.902
2,10/12/19 23:01,25.902
2,10/12/19 23:31,25.805
2,10/13/19 0:01,25.708
2,10/13/19 0:31,25.61
2,10/13/19 1:01,25.513
2,10/13/19 1:31,25.416
2,10/13/19 2:01,25.416
2,10/13/19 2:31,25.319
2,10/13/19 3:01,25.319
2,10/13/19 3:31,25.222
2,10/13/19 4:01,25.222
2,10/13/19 4:31,25.125
2,10/13/19 5:01,25.125
2,10/13/19 5:31,25.028
2,10/13/19 6:01,24.931
2,10/13/19 6:31,24.931
2,10/13/19 7:01,24.931
2,10/13/19 7:31,24.835
2,10/13/19 8:01,24.835
2,10/13/19 8:31,24.738
2,10/13/19 9:01,24.738
2,10/13/19 9:31,24.931
2,10/13/19 10:01,25.222
2,10/13/19 10:31,25.513
2,10/13/19 11:01,25.805
2,10/13/19 11:31,26.195
2,10/13/19 12:01,26.39
2,10/13/19 12:31,26.683
2,10/13/19 13:01,26.977
2,10/13/19 13:31,27.173
2,10/13/19 14:01,27.468
2,10/13/19 14:31,28.159
2,10/13/19 15:01,28.456
2,10/13/19 15:31,28.159
2,10/13/19 16:01,28.258
2,10/13/19 16:31,28.555
2,10/13/19 17:01,28.357
2,10/13/19 17:14,
2,10/13/19 17:15,
2,10/13/19 17:17,
2,10/13/19 17:20,
2,10/13/19 17:31,27.961
2,10/13/19 18:01,27.665
2,10/13/19 18:31,27.567
2,10/13/19 19:01,27.37
2,10/13/19 19:31,27.272
2,10/13/19 20:01,27.173
2,10/13/19 20:31,27.075
2,10/13/19 21:01,26.977
2,10/13/19 21:31,26.781
2,10/13/19 22:01,26.683
2,10/13/19 22:31,26.585
2,10/13/19 23:01,26.488
2,10/13/19 23:31,26.39
2,10/14/19 0:01,26.292
2,10/14/19 0:31,26.195
2,10/14/19 1:01,26.097
2,10/14/19 1:31,26
2,10/14/19 2:01,25.902
2,10/14/19 2:31,25.805
2,10/14/19 3:01,25.805
2,10/14/19 3:31,25.708
2,10/14/19 4:01,25.708
2,10/14/19 4:31,25.708
2,10/14/19 5:01,25.61
2,10/14/19 5:31,25.61
2,10/14/19 6:01,25.61
2,10/14/19 6:31,25.513
2,10/14/19 7:01,25.513
2,10/14/19 7:31,25.513
2,10/14/19 8:01,25.513
2,10/14/19 8:31,25.416
2,10/14/19 9:01,25.416
2,10/14/19 9:31,25.513
2,10/14/19 10:01,25.805
2,10/14/19 10:31,26.097
2,10/14/19 11:01,26.195
2,10/14/19 11:31,26.292
2,10/14/19 12:01,26.488
2,10/14/19 12:31,26.683
2,10/14/19 13:01,26.781
2,10/14/19 13:31,26.879
2,10/14/19 14:01,26.977
2,10/14/19 14:31,26.977
2,10/14/19 15:01,27.075
2,10/14/19 15:31,26.977
2,10/14/19 16:01,26.977
2,10/14/19 16:31,26.977
2,10/14/19 17:01,27.075
2,10/14/19 17:31,27.272
2,10/14/19 18:01,27.075
2,10/14/19 18:31,27.272
2,10/14/19 19:01,27.272
2,10/14/19 19:31,27.173
2,10/14/19 20:01,27.075
2,10/14/19 20:31,26.879
2,10/14/19 21:01,26.781
2,10/14/19 21:31,26.683
2,10/14/19 22:01,26.585
2,10/14/19 22:31,26.488
2,10/14/19 23:01,26.488
