tank.number,Date.Time,Temp,,,,,,,
1,10/15/19 12:08,26.195,,,,,,,
1,10/15/19 12:38,26.39,,,,,,,
1,10/15/19 13:08,26.683,,,,,,,
1,10/15/19 13:38,26.977,,,,,,,
1,10/15/19 14:08,27.173,,,,,,,
1,10/15/19 14:38,27.272,,,,,,,
1,10/15/19 15:08,27.37,,,,,,,
1,10/15/19 15:38,27.567,,,,,,,
1,10/15/19 16:08,27.665,,,,,,,
1,10/15/19 16:38,27.862,,,,,,,
1,10/15/19 17:08,27.961,,,,,,,
1,10/15/19 17:38,28.159,,,,,,,
1,10/15/19 18:08,28.258,,,,,,,
1,10/15/19 18:38,28.357,,,,,,,
1,10/15/19 19:08,28.258,,,,,,,
1,10/15/19 19:38,28.159,,,,,,,
1,10/15/19 20:08,28.06,,,,,,,
1,10/15/19 20:38,27.961,,,,,,,
1,10/15/19 21:08,27.764,,,,,,,
1,10/15/19 21:38,27.665,,,,,,,
1,10/15/19 22:08,27.567,,,,,,,
1,10/15/19 22:38,27.468,,,,,,,
1,10/15/19 23:08,27.37,,,,,,,
1,10/15/19 23:38,27.272,,,,,,,
1,10/16/19 0:08,27.075,,,,,,,
1,10/16/19 0:38,27.075,,,,,,,
1,10/16/19 1:08,26.977,,,,,,,
1,10/16/19 1:38,26.879,,,,,,,
1,10/16/19 2:08,26.781,,,,,,,
1,10/16/19 2:38,26.683,,,,,,,
1,10/16/19 3:08,26.585,,,,,,,
1,10/16/19 3:38,26.585,,,,,,,
1,10/16/19 4:08,26.488,,,,,,,
1,10/16/19 4:38,26.39,,,,,,,
1,10/16/19 5:08,26.292,,,,,,,
1,10/16/19 5:38,26.292,,,,,,,
1,10/16/19 6:08,26.195,,,,,,,
1,10/16/19 6:38,26.097,,,,,,,
1,10/16/19 7:08,26.097,,,,,,,
1,10/16/19 7:38,26,,,,,,,
1,10/16/19 8:08,26,,,,,,,
1,10/16/19 8:38,25.902,,,,,,,
1,10/16/19 9:08,25.902,,,,,,,
1,10/16/19 9:38,25.902,,,,,,,
1,10/16/19 10:08,26,,,,,,,
1,10/16/19 10:38,26,,,,,,,
1,10/16/19 11:08,26.195,,,,,,,
1,10/16/19 11:38,26.488,,,,,,,
1,10/16/19 12:08,26.683,,,,,,,
1,10/16/19 12:38,26.781,,,,,,,
1,10/16/19 13:08,27.173,,,,,,,
1,10/16/19 13:38,27.468,,,,,,,
1,10/16/19 14:08,27.665,,,,,,,
1,10/16/19 14:38,27.961,,,,,,,
1,10/16/19 15:08,28.06,,,,,,,
1,10/16/19 15:38,27.961,,,,,,,
1,10/16/19 16:08,27.961,,,,,,,
1,10/16/19 16:38,27.862,,,,,,,
1,10/16/19 17:08,27.764,,,,,,,
1,10/16/19 17:38,27.665,,,,,,,
1,10/16/19 18:08,27.468,,,,,,,
1,10/16/19 18:38,27.567,,,,,,,
1,10/16/19 19:08,27.665,,,,,,,
1,10/16/19 19:38,27.567,,,,,,,
1,10/16/19 20:08,27.567,,,,,,,
1,10/16/19 20:38,27.468,,,,,,,
1,10/16/19 21:08,27.37,,,,,,,
1,10/16/19 21:38,27.272,,,,,,,
1,10/16/19 22:08,27.173,,,,,,,
1,10/16/19 22:38,27.075,,,,,,,
1,10/16/19 23:08,26.977,,,,,,,
1,10/16/19 23:38,26.879,,,,,,,
1,10/17/19 0:08,26.781,,,,,,,
1,10/17/19 0:38,26.781,,,,,,,
1,10/17/19 1:08,26.683,,,,,,,
1,10/17/19 1:38,26.585,,,,,,,
1,10/17/19 2:08,26.488,,,,,,,
1,10/17/19 2:38,26.488,,,,,,,
1,10/17/19 3:08,26.39,,,,,,,
1,10/17/19 3:38,26.292,,,,,,,
1,10/17/19 4:08,26.292,,,,,,,
1,10/17/19 4:38,26.195,,,,,,,
1,10/17/19 5:08,26.195,,,,,,,
1,10/17/19 5:38,26.195,,,,,,,
1,10/17/19 6:08,26.097,,,,,,,
1,10/17/19 6:38,26.097,,,,,,,
