"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","Light_Dark","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","start.time","stop.time","light_dark","treatment","surf.area.cm2","volume","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.cm2.hr","Rate.ln"
"3","PV12_PI_0_O2",176.15656,-0.0133600000000006,26.591,NA,"PV12","P. verrucosa","12",9,0,26.8,2020-05-21 07:39:00,2020-05-21 08:00:00,"light","enriched",54.96,0.62,-0.00828320000000035,"0",-0.000100517857143231,-0.00818268214285712,-0.535983546475357,NA
"4","PV13_PI_0_O2",176.103631428572,-0.0173457142857156,26.565,NA,"PV13","P. verrucosa","13",5,0,26.8,2020-05-21 07:39:00,2020-05-21 08:00:00,"light","enriched",75.7,0.62,-0.0107543428571437,"0",-0.000100517857143231,-0.0106538250000005,-0.506654821664487,NA
"5","PV16_PI_0_O2",186.345245,-0.0122449999999989,26.7648333333333,NA,"PV16","P. verrucosa","16",4,0,26.8,2020-05-21 07:39:00,2020-05-21 08:00:00,"light","enriched",48.69,0.625,-0.00765312499999933,"0",-0.000100517857143231,-0.0075526071428561,-0.558418273039268,NA
"6","PV22_PI_0_O2",160.407365,-0.00646500000000042,26.755,NA,"PV22","P. verrucosa","22",6,0,26.8,2020-05-21 07:39:00,2020-05-21 08:00:00,"light","control",40.2,0.635,-0.00410527500000027,"0",-0.000100517857143231,-0.00400475714285704,-0.358634968017048,NA
"7","PV23_PI_0_O2",161.370886666667,-0.0112200000000005,26.8056666666667,NA,"PV23","P. verrucosa","23",3,0,26.8,2020-05-21 07:40:00,2020-05-21 08:00:00,"light","control",64.91,0.625,-0.00701250000000033,"0",-0.000100517857143231,-0.00691198214285709,-0.383348262429295,NA
"8","PV27_PI_0_O2",182.75158952381,-0.0163514285714295,26.731,NA,"PV27","P. verrucosa","27",2,0,26.8,2020-05-21 07:40:00,2020-05-21 08:00:00,"light","control",68.22,0.6,-0.00981085714285771,"0",-0.000100517857143231,-0.00971033928571448,-0.51241895966831,NA
"9","PV30_PI_0_O2",188.0605,-0.0106999999999994,26.783,NA,"PV30","P. verrucosa","30",1,0,26.8,2020-05-21 07:40:00,2020-05-21 08:00:00,"light","control",61.11,0.615,-0.00658049999999965,"0",-0.000100517857143231,-0.00647998214285642,-0.381736797811866,NA
"10","PV9_PI_0_O2",156.434559047619,-0.0150828571428573,26.763,NA,"PV9","P. verrucosa","9",7,0,26.8,2020-05-21 07:39:00,2020-05-21 08:00:00,"light","enriched",69.41,0.62,-0.00935137142857153,"0",-0.000100517857143231,-0.0092508535714283,-0.479802231049443,NA
"13","PV12_PI_134_O2",130.065555,-0.0041549999999998,26.6745,NA,"PV12","P. verrucosa","12",9,134,26.8,2020-05-21 09:21:00,2020-05-21 09:42:00,"light","enriched",54.96,0.62,-0.00257609999999988,"0",-7.150000000002e-05,-0.00250459999999986,-0.164056768558943,NA
"14","PV13_PI_134_O2",126.09392,-0.000919999999999774,26.703,NA,"PV13","P. verrucosa","13",5,134,26.8,2020-05-21 09:21:00,2020-05-21 09:42:00,"light","enriched",75.7,0.62,-0.00057039999999986,"0",-7.150000000002e-05,-0.00049889999999984,-0.0237257595772711,-2.57342000683307
"15","PV16_PI_134_O2",156.441,0.00200000000000052,26.857,NA,"PV16","P. verrucosa","16",4,134,26.8,2020-05-21 09:21:00,2020-05-21 09:42:00,"light","enriched",48.69,0.625,0.00125000000000032,"0",-7.150000000002e-05,0.00132150000000034,0.0977079482440181,-1.62096434605266
"16","PV22_PI_134_O2",147.33425,0.00225000000000023,26.845,NA,"PV22","P. verrucosa","22",6,134,26.8,2020-05-21 09:21:00,2020-05-21 09:42:00,"light","control",40.2,0.635,0.00142875000000014,"0",-7.150000000002e-05,0.00150025000000016,0.134350746268671,-1.45093637019916
"17","PV23_PI_134_O2",121.37762,-0.00262000000000017,26.93,NA,"PV23","P. verrucosa","23",3,134,26.8,2020-05-21 09:21:00,2020-05-21 09:42:00,"light","control",64.91,0.625,-0.0016375000000001,"0",-7.150000000002e-05,-0.00156600000000008,-0.0868525650901295,-4.33152860327397
"18","PV27_PI_134_O2",139.31293,0.000970000000000368,26.864,NA,"PV27","P. verrucosa","27",2,134,26.8,2020-05-21 09:21:00,2020-05-21 09:42:00,"light","control",68.22,0.6,0.000582000000000221,"0",-7.150000000002e-05,0.000653500000000241,0.0344854881266618,-2.00629898073038
"19","PV30_PI_134_O2",154.34339,-0.00139000000000043,26.88,NA,"PV30","P. verrucosa","30",1,134,26.8,2020-05-21 09:21:00,2020-05-21 09:42:00,"light","control",61.11,0.615,-0.000854850000000266,"0",-7.150000000002e-05,-0.000783350000000246,-0.0461472754050219,-2.92150228065265
"20","PV9_PI_134_O2",102.703525,-0.00352500000000006,26.8756666666667,NA,"PV9","P. verrucosa","9",7,134,26.8,2020-05-21 09:21:00,2020-05-21 09:42:00,"light","enriched",69.41,0.62,-0.00218550000000004,"0",-7.150000000002e-05,-0.00211400000000002,-0.109644143495175,NA
"23","PV12_PI_207_O2",129.27603,0.00107000000000056,26.694,NA,"PV12","P. verrucosa","12",9,207,26.8,2020-05-21 09:46:00,2020-05-21 10:06:00,"light","enriched",54.96,0.62,0.000663400000000348,"0",0.000602874999999784,6.0525000000564e-05,0.00396451965069196,-2.26370559525301
"24","PV13_PI_207_O2",132.567335,0.00496500000000026,26.723,NA,"PV13","P. verrucosa","13",5,207,26.8,2020-05-21 09:46:00,2020-05-21 10:06:00,"light","enriched",75.7,0.62,0.00307830000000016,"0",0.000602874999999784,0.00247542500000038,0.117721664465011,-1.52453780046552
"25","PV16_PI_207_O2",162.311185,0.00611500000000035,26.886,NA,"PV16","P. verrucosa","16",4,207,26.8,2020-05-21 09:46:00,2020-05-21 10:06:00,"light","enriched",48.69,0.625,0.00382187500000022,"0",0.000602874999999784,0.00321900000000043,0.238003696857703,-1.08469844611011
"26","PV22_PI_207_O2",152.601356666667,0.00430999999999964,26.873,NA,"PV22","P. verrucosa","22",6,207,26.8,2020-05-21 09:46:00,2020-05-21 10:06:00,"light","control",40.2,0.635,0.00273684999999977,"0",0.000602874999999784,0.00213397499999999,0.191102238805969,-1.23408073741173
"27","PV23_PI_207_O2",122.18989,0.00310999999999993,26.9481666666667,NA,"PV23","P. verrucosa","23",3,207,26.8,2020-05-21 09:46:00,2020-05-21 10:06:00,"light","control",64.91,0.625,0.00194374999999996,"0",0.000602874999999784,0.00134087500000017,0.0743668155908276,-1.74659406318786
"28","PV27_PI_207_O2",145.88194,0.00586000000000064,26.8853333333333,NA,"PV27","P. verrucosa","27",2,207,26.8,2020-05-21 09:46:00,2020-05-21 10:06:00,"light","control",68.22,0.6,0.00351600000000038,"0",0.000602874999999784,0.0029131250000006,0.153726912928791,-1.37149673629725
"29","PV30_PI_207_O2",156.891356190476,0.00254857142857084,26.8946666666667,NA,"PV30","P. verrucosa","30",1,207,26.8,2020-05-21 09:46:00,2020-05-21 10:06:00,"light","control",61.11,0.615,0.00156737142857107,"0",0.000602874999999784,0.000964496428571283,0.0568186408583966,-1.85266529510637
"30","PV9_PI_207_O2",103.596965,0.00143500000000011,26.894,NA,"PV9","P. verrucosa","9",7,207,26.8,2020-05-21 09:46:00,2020-05-21 10:06:00,"light","enriched",69.41,0.62,0.000889700000000067,"0",0.000602874999999784,0.000286825000000283,0.0148763866878118,-2.16389862710331
"33","PV12_PI_26_O2",153.366033333333,-0.00970000000000068,26.57,NA,"PV12","P. verrucosa","12",9,26,26.8,2020-05-21 08:16:00,2020-05-21 08:36:00,"light","enriched",54.96,0.62,-0.00601400000000042,"0",2.78571428560023e-06,-0.00601678571428602,-0.394112601372447,NA
"34","PV13_PI_26_O2",144.569372857143,-0.012801428571429,26.577,NA,"PV13","P. verrucosa","13",5,26,26.8,2020-05-21 08:16:00,2020-05-21 08:36:00,"light","enriched",75.7,0.62,-0.00793688571428599,"0",2.78571428560023e-06,-0.00793967142857159,-0.377580147197592,NA
"35","PV16_PI_26_O2",165.99273,-0.00733000000000032,26.7491666666667,NA,"PV16","P. verrucosa","16",4,26,26.8,2020-05-21 08:16:00,2020-05-21 08:36:00,"light","enriched",48.69,0.625,-0.0045812500000002,"0",2.78571428560023e-06,-0.0045840357142858,-0.338930551888045,NA
"36","PV22_PI_26_O2",150.262085,-0.00458499999999873,26.734,NA,"PV22","P. verrucosa","22",6,26,26.8,2020-05-21 08:16:00,2020-05-21 08:36:00,"light","control",40.2,0.635,-0.00291147499999919,"0",2.78571428560023e-06,-0.00291426071428479,-0.260978571428489,NA
"37","PV23_PI_26_O2",140.156305,-0.00870499999999993,26.8058333333333,NA,"PV23","P. verrucosa","23",3,26,26.8,2020-05-21 08:16:00,2020-05-21 08:36:00,"light","control",64.91,0.625,-0.00544062499999995,"0",2.78571428560023e-06,-0.00544341071428555,-0.301899223100108,NA
"38","PV27_PI_26_O2",155.183775,-0.0122749999999994,26.7431666666667,NA,"PV27","P. verrucosa","27",2,26,26.8,2020-05-21 08:16:00,2020-05-21 08:36:00,"light","control",68.22,0.6,-0.00736499999999961,"0",2.78571428560023e-06,-0.00736778571428521,-0.388801356954365,NA
"39","PV30_PI_26_O2",168.59779,-0.00929000000000002,26.7736666666667,NA,"PV30","P. verrucosa","30",1,26,26.8,2020-05-21 08:16:00,2020-05-21 08:36:00,"light","control",61.11,0.615,-0.00571335000000001,"0",2.78571428560023e-06,-0.00571613571428561,-0.336738480959388,NA
"40","PV9_PI_26_O2",127.684035,-0.0113350000000007,26.757,NA,"PV9","P. verrucosa","9",7,26,26.8,2020-05-21 08:16:00,2020-05-21 08:36:00,"light","enriched",69.41,0.62,-0.00702770000000041,"0",2.78571428560023e-06,-0.00703048571428601,-0.364641241484363,NA
"43","PV12_PI_340_O2",138.066042380952,0.00776714285714256,26.707,NA,"PV12","P. verrucosa","12",9,340,26.8,2020-05-21 10:11:00,2020-05-21 10:31:00,"light","enriched",54.96,0.62,0.00481562857142839,"0",-0.000354249999999936,0.00516987857142832,0.338638334373034,-0.824080045146348
"44","PV13_PI_340_O2",152.28815,0.0128499999999997,26.744,NA,"PV13","P. verrucosa","13",5,340,26.8,2020-05-21 10:11:00,2020-05-21 10:31:00,"light","enriched",75.7,0.62,0.0079669999999998,"0",-0.000354249999999936,0.00832124999999974,0.395726552179644,-0.701730810371716
"45","PV16_PI_340_O2",174.87644,0.0098599999999999,26.902,NA,"PV16","P. verrucosa","16",4,340,26.8,2020-05-21 10:11:00,2020-05-21 10:31:00,"light","enriched",48.69,0.625,0.00616249999999994,"0",-0.000354249999999936,0.00651674999999987,0.481829944547126,-0.541577065446737
"46","PV22_PI_340_O2",163.061005,0.00639500000000027,26.8886666666667,NA,"PV22","P. verrucosa","22",6,340,26.8,2020-05-21 10:11:00,2020-05-21 10:31:00,"light","control",40.2,0.635,0.00406082500000017,"0",-0.000354249999999936,0.0044150750000001,0.395379850746278,-0.702430435450284
"47","PV23_PI_340_O2",130.662995,0.00600500000000039,26.961,NA,"PV23","P. verrucosa","23",3,340,26.8,2020-05-21 10:11:00,2020-05-21 10:31:00,"light","control",64.91,0.625,0.00375312500000025,"0",-0.000354249999999936,0.00410737500000018,0.227800801109238,-1.115349168779
"48","PV27_PI_340_O2",162.676123333333,0.01121,26.901,NA,"PV27","P. verrucosa","27",2,340,26.8,2020-05-21 10:11:00,2020-05-21 10:31:00,"light","control",68.22,0.6,0.00672599999999999,"0",-0.000354249999999936,0.00708024999999993,0.373627968337727,-0.747333142388845
"49","PV30_PI_340_O2",167.217653809524,0.00744142857142732,26.904,NA,"PV30","P. verrucosa","30",1,340,26.8,2020-05-21 10:11:00,2020-05-21 10:31:00,"light","control",61.11,0.615,0.0045764785714278,"0",-0.000354249999999936,0.00493072857142774,0.29047001893536,-0.94040408874366
"50","PV9_PI_340_O2",115.1887,0.00779999999999987,26.91,NA,"PV9","P. verrucosa","9",7,340,26.8,2020-05-21 10:11:00,2020-05-21 10:31:00,"light","enriched",69.41,0.62,0.00483599999999992,"0",-0.000354249999999936,0.00519024999999985,0.269196081256296,-0.996427390558482
"53","PV12_PI_535_O2",156.180960952381,0.0125628571428565,26.773,NA,"PV12","P. verrucosa","12",9,535,26.8,2020-05-21 10:35:00,2020-05-21 10:55:00,"light","enriched",54.96,0.62,0.00778897142857103,"0",-0.000299000000000135,0.00808797142857117,0.529779787897675,-0.462385063720523
"54","PV13_PI_535_O2",182.759445,0.0222550000000002,26.8241666666667,NA,"PV13","P. verrucosa","13",5,535,26.8,2020-05-21 10:35:00,2020-05-21 10:55:00,"light","enriched",75.7,0.62,0.0137981000000001,"0",-0.000299000000000135,0.0140971000000002,0.670403698811108,-0.260840617353065
"55","PV16_PI_535_O2",193.6477,0.0113,26.9821666666667,NA,"PV16","P. verrucosa","16",4,535,26.8,2020-05-21 10:35:00,2020-05-21 10:55:00,"light","enriched",48.69,0.625,0.00706249999999997,"0",-0.000299000000000135,0.00736150000000011,0.544288354898344,-0.439608897037283
"56","PV22_PI_535_O2",177.057755,0.0111449999999999,26.983,NA,"PV22","P. verrucosa","22",6,535,26.8,2020-05-21 10:35:00,2020-05-21 10:55:00,"light","control",40.2,0.635,0.00707707499999993,"0",-0.000299000000000135,0.00737607500000006,0.660544029850752,-0.273721273033971
"57","PV23_PI_535_O2",145.6244,0.0114000000000012,27.035,NA,"PV23","P. verrucosa","23",3,535,26.8,2020-05-21 10:35:00,2020-05-21 10:55:00,"light","control",64.91,0.625,0.00712500000000076,"0",-0.000299000000000135,0.0074240000000009,0.411745493760641,-0.669927860027838
"58","PV27_PI_535_O2",189.83447,0.0199299999999994,26.987,NA,"PV27","P. verrucosa","27",2,535,26.8,2020-05-21 10:35:00,2020-05-21 10:55:00,"light","control",68.22,0.6,0.0119579999999996,"0",-0.000299000000000135,0.0122569999999998,0.646807387862784,-0.291947974670968
"59","PV30_PI_535_O2",184.868503333333,0.0118299999999992,26.965,NA,"PV30","P. verrucosa","30",1,535,26.8,2020-05-21 10:35:00,2020-05-21 10:55:00,"light","control",61.11,0.615,0.00727544999999951,"0",-0.000299000000000135,0.00757444999999965,0.44621207658319,-0.604747960001698
"60","PV9_PI_535_O2",138.026835,0.0161649999999997,26.984,NA,"PV9","P. verrucosa","9",7,535,26.8,2020-05-21 10:35:00,2020-05-21 10:55:00,"light","enriched",69.41,0.62,0.0100222999999998,"0",-0.000299000000000135,0.0103213,0.535321711568937,-0.453623775992279
"63","PV12_PI_65_O2",140.36424,-0.00774000000000001,26.663,NA,"PV12","P. verrucosa","12",9,65,26.8,2020-05-21 08:43:00,2020-05-21 09:03:00,"light","enriched",54.96,0.62,-0.00479880000000001,"0",4.64285714249459e-06,-0.0048034428571425,-0.314635995009334,NA
"64","PV13_PI_65_O2",130.136785,-0.00848500000000058,26.676,NA,"PV13","P. verrucosa","13",5,65,26.8,2020-05-21 08:43:00,2020-05-21 09:03:00,"light","enriched",75.7,0.62,-0.00526070000000036,"0",4.64285714249459e-06,-0.00526534285714286,-0.250399396112474,NA
"65","PV16_PI_65_O2",156.84898,-0.00497999999999933,26.846,NA,"PV16","P. verrucosa","16",4,65,26.8,2020-05-21 08:43:00,2020-05-21 09:03:00,"light","enriched",48.69,0.625,-0.00311249999999958,"0",4.64285714249459e-06,-0.00311714285714208,-0.230472669659303,NA
"66","PV22_PI_65_O2",145.744415,-0.00241499999999974,26.8271666666667,NA,"PV22","P. verrucosa","22",6,65,26.8,2020-05-21 08:43:00,2020-05-21 09:03:00,"light","control",40.2,0.635,-0.00153352499999983,"0",4.64285714249459e-06,-0.00153816785714233,-0.137746375266477,NA
"67","PV23_PI_65_O2",128.606305,-0.00670500000000004,26.9103333333333,NA,"PV23","P. verrucosa","23",3,65,26.8,2020-05-21 08:43:00,2020-05-21 09:03:00,"light","control",64.91,0.625,-0.00419062500000003,"0",4.64285714249459e-06,-0.00419526785714252,-0.232675462728595,NA
"68","PV27_PI_65_O2",141.523865,-0.00886499999999984,26.8498333333333,NA,"PV27","P. verrucosa","27",2,65,26.8,2020-05-21 08:43:00,2020-05-21 09:03:00,"light","control",68.22,0.6,-0.0053189999999999,"0",4.64285714249459e-06,-0.0053236428571424,-0.280931021485087,NA
"69","PV30_PI_65_O2",158.392975,-0.00547499999999937,26.871,NA,"PV30","P. verrucosa","30",1,65,26.8,2020-05-21 08:43:00,2020-05-21 09:03:00,"light","control",61.11,0.615,-0.00336712499999961,"0",4.64285714249459e-06,-0.00337176785714211,-0.198631390700566,NA
"70","PV9_PI_65_O2",112.426805,-0.00880500000000051,26.857,NA,"PV9","P. verrucosa","9",7,65,26.8,2020-05-21 08:43:00,2020-05-21 09:03:00,"light","enriched",69.41,0.62,-0.00545910000000032,"0",4.64285714249459e-06,-0.00546374285714281,-0.283380986683678,NA
"73","PV12_PI_720_O2",179.7539,0.0150999999999991,26.8403333333333,NA,"PV12","P. verrucosa","12",9,720,26.8,2020-05-21 10:59:00,2020-05-21 11:20:00,"light","enriched",54.96,0.62,0.00936199999999942,"0",-0.000180374999999555,0.00954237499999897,0.625046397379845,-0.32151962978915
"74","PV13_PI_720_O2",219.194870952381,0.0246528571428561,26.909,NA,"PV13","P. verrucosa","13",5,720,26.8,2020-05-21 10:59:00,2020-05-21 11:20:00,"light","enriched",75.7,0.62,0.0152847714285708,"0",-0.000180374999999555,0.0154651464285703,0.73546270994522,-0.179769563965205
