"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","Light_Dark"
"72","BLANK2_PI_720_O2",212.505315,-1.49999999997477e-05,27.05,NA
"73","PV12_PI_720_O2",179.7539,0.0150999999999991,26.8403333333333,NA
"74","PV13_PI_720_O2",219.194870952381,0.0246528571428561,26.909,NA
"75","PV16_PI_720_O2",214.51737,0.0140300000000005,27.077,NA
"76","PV22_PI_720_O2",192.42259,0.011410000000001,27.0771666666667,NA
"77","PV23_PI_720_O2",164.295555,0.011345,27.116,NA
"78","PV27_PI_720_O2",222.778769047619,0.0217071428571418,27.079,NA
"79","PV30_PI_720_O2",205.990783333333,0.0145499999999999,27.031,NA
"80","PV9_PI_720_O2",167.543435,0.0223650000000001,27.0633333333333,NA
"81","BLANK1_PI_911_O2",193.058905,-0.000704999999999403,27.072,NA
"82","BLANK2_PI_911_O2",211.961702857143,-0.00113142857142864,27.109,NA
"83","PV12_PI_911_O2",205.12851,0.0156900000000003,26.8895,NA
"84","PV13_PI_911_O2",256.659425,0.0265750000000009,26.967,NA
"85","PV16_PI_911_O2",235.255180476191,0.0135814285714275,27.141,NA
"86","PV22_PI_911_O2",207.104125,0.00887500000000017,27.1498333333333,NA
"87","PV23_PI_911_O2",184.267045,0.0109549999999993,27.1715,NA
"88","PV27_PI_911_O2",256.172935,0.0225649999999996,27.1495,NA
"89","PV30_PI_911_O2",228.54235,0.0171500000000003,27.074,NA
"90","PV9_PI_911_O2",199.739051904762,0.0239957142857137,27.117,NA
