fragment.ID.full,fragment.ID,species,genotype,chamber.channel,run,temp.Cat,start.time,stop.time,light_dark
PV9_PI_0_O2,PV9,P. verrucosa,9,7,0,26.8,7:39:00 AM,8:00:00 AM,light
PV12_PI_0_O2,PV12,P. verrucosa,12,9,0,26.8,7:39:00 AM,8:00:00 AM,light
PV13_PI_0_O2,PV13,P. verrucosa,13,5,0,26.8,7:39:00 AM,8:00:00 AM,light
PV16_PI_0_O2,PV16,P. verrucosa,16,4,0,26.8,7:39:00 AM,8:00:00 AM,light
PV22_PI_0_O2,PV22,P. verrucosa,22,6,0,26.8,7:39:00 AM,8:00:00 AM,light
PV23_PI_0_O2,PV23,P. verrucosa,23,3,0,26.8,7:40:00 AM,8:00:00 AM,light
PV27_PI_0_O2,PV27,P. verrucosa,27,2,0,26.8,7:40:00 AM,8:00:00 AM,light
PV30_PI_0_O2,PV30,P. verrucosa,30,1,0,26.8,7:40:00 AM,8:00:00 AM,light
BLANK1_PI_0_O2,BLANK1,P. verrucosa,BLANK,10,0,26.8,7:40:00 AM,8:00:00 AM,light
BLANK2_PI_0_O2,BLANK2,P. verrucosa,BLANK,8,0,26.8,7:40:00 AM,8:00:00 AM,light
PV9_PI_26_O2,PV9,P. verrucosa,9,7,26,26.8,8:16:00 AM,8:36:00 AM,light
PV12_PI_26_O2,PV12,P. verrucosa,12,9,26,26.8,8:16:00 AM,8:36:00 AM,light
PV13_PI_26_O2,PV13,P. verrucosa,13,5,26,26.8,8:16:00 AM,8:36:00 AM,light
PV16_PI_26_O2,PV16,P. verrucosa,16,4,26,26.8,8:16:00 AM,8:36:00 AM,light
PV22_PI_26_O2,PV22,P. verrucosa,22,6,26,26.8,8:16:00 AM,8:36:00 AM,light
PV23_PI_26_O2,PV23,P. verrucosa,23,3,26,26.8,8:16:00 AM,8:36:00 AM,light
PV27_PI_26_O2,PV27,P. verrucosa,27,2,26,26.8,8:16:00 AM,8:36:00 AM,light
PV30_PI_26_O2,PV30,P. verrucosa,30,1,26,26.8,8:16:00 AM,8:36:00 AM,light
BLANK1_PI_26_O2,BLANK1,P. verrucosa,BLANK,10,26,26.8,8:16:00 AM,8:36:00 AM,light
BLANK2_PI_26_O2,BLANK2,P. verrucosa,BLANK,8,26,26.8,8:16:00 AM,8:36:00 AM,light
PV9_PI_65_O2,PV9,P. verrucosa,9,7,65,26.8,8:43:00 AM,9:03:00 AM,light
PV12_PI_65_O2,PV12,P. verrucosa,12,9,65,26.8,8:43:00 AM,9:03:00 AM,light
PV13_PI_65_O2,PV13,P. verrucosa,13,5,65,26.8,8:43:00 AM,9:03:00 AM,light
PV16_PI_65_O2,PV16,P. verrucosa,16,4,65,26.8,8:43:00 AM,9:03:00 AM,light
PV22_PI_65_O2,PV22,P. verrucosa,22,6,65,26.8,8:43:00 AM,9:03:00 AM,light
PV23_PI_65_O2,PV23,P. verrucosa,23,3,65,26.8,8:43:00 AM,9:03:00 AM,light
PV27_PI_65_O2,PV27,P. verrucosa,27,2,65,26.8,8:43:00 AM,9:03:00 AM,light
PV30_PI_65_O2,PV30,P. verrucosa,30,1,65,26.8,8:43:00 AM,9:03:00 AM,light
BLANK1_PI_65_O2,BLANK1,P. verrucosa,BLANK,10,65,26.8,8:43:00 AM,9:03:00 AM,light
BLANK2_PI_65_O2,BLANK2,P. verrucosa,BLANK,8,65,26.8,8:43:00 AM,9:03:00 AM,light
PV9_PI_134_O2,PV9,P. verrucosa,9,7,134,26.8,9:21:00 AM,9:42:00 AM,light
PV12_PI_134_O2,PV12,P. verrucosa,12,9,134,26.8,9:21:00 AM,9:42:00 AM,light
PV13_PI_134_O2,PV13,P. verrucosa,13,5,134,26.8,9:21:00 AM,9:42:00 AM,light
PV16_PI_134_O2,PV16,P. verrucosa,16,4,134,26.8,9:21:00 AM,9:42:00 AM,light
PV22_PI_134_O2,PV22,P. verrucosa,22,6,134,26.8,9:21:00 AM,9:42:00 AM,light
PV23_PI_134_O2,PV23,P. verrucosa,23,3,134,26.8,9:21:00 AM,9:42:00 AM,light
PV27_PI_134_O2,PV27,P. verrucosa,27,2,134,26.8,9:21:00 AM,9:42:00 AM,light
PV30_PI_134_O2,PV30,P. verrucosa,30,1,134,26.8,9:21:00 AM,9:42:00 AM,light
BLANK1_PI_134_O2,BLANK1,P. verrucosa,BLANK,10,134,26.8,9:21:00 AM,9:42:00 AM,light
BLANK2_PI_134_O2,BLANK2,P. verrucosa,BLANK,8,134,26.8,9:21:00 AM,9:42:00 AM,light
PV9_PI_207_O2,PV9,P. verrucosa,9,7,207,26.8,9:46:00 AM,10:06:00 AM,light
PV12_PI_207_O2,PV12,P. verrucosa,12,9,207,26.8,9:46:00 AM,10:06:00 AM,light
PV13_PI_207_O2,PV13,P. verrucosa,13,5,207,26.8,9:46:00 AM,10:06:00 AM,light
PV16_PI_207_O2,PV16,P. verrucosa,16,4,207,26.8,9:46:00 AM,10:06:00 AM,light
PV22_PI_207_O2,PV22,P. verrucosa,22,6,207,26.8,9:46:00 AM,10:06:00 AM,light
PV23_PI_207_O2,PV23,P. verrucosa,23,3,207,26.8,9:46:00 AM,10:06:00 AM,light
PV27_PI_207_O2,PV27,P. verrucosa,27,2,207,26.8,9:46:00 AM,10:06:00 AM,light
