fragment.ID.full,fragment.ID,species,genotype,chamber.channel,run,temp.Cat,start.time,stop.time,light_dark,treatment
PV3_D_36_O2,PV3_D,P. verrucosa,3,2,D1,36,9:36:00 AM,9:56:00 AM,dark,enriched
PV6_D_36_O2,PV6_D,P. verrucosa,6,9,D1,36,9:36:00 AM,9:56:00 AM,dark,enriched
PV8_D_36_O2,PV8_D,P. verrucosa,8,6,D1,36,9:36:00 AM,9:56:00 AM,dark,enriched
PV11_D_36_O2,PV11_D,P. verrucosa,11,10,D1,36,9:36:00 AM,9:56:00 AM,dark,enriched
PV21_D_36_O2,PV21_D,P. verrucosa,21,3,D1,36,9:36:00 AM,9:56:00 AM,dark,control
PV29_D_36_O2,PV29_D,P. verrucosa,29,4,D1,36,9:36:00 AM,9:56:00 AM,dark,control
PV30_D_36_O2,PV30_D,P. verrucosa,30,1,D1,36,9:36:00 AM,9:56:00 AM,dark,control
PV32_D_36_O2,PV32_D,P. verrucosa,32,5,D1,36,9:36:00 AM,9:56:00 AM,dark,control
BLANK1_D_36_O2,BLANK1_D,P. verrucosa,BLANK,8,D1,36,9:36:00 AM,9:56:00 AM,dark,BLANK
BLANK2_D_36_O2,BLANK2_D,P. verrucosa,BLANK,7,D1,36,9:36:00 AM,9:56:00 AM,dark,BLANK
PV3_D_37_O2,PV3_D,P. verrucosa,3,2,D1,37,10:14:00 AM,10:34:00 AM,dark,enriched
PV6_D_37_O2,PV6_D,P. verrucosa,6,9,D1,37,10:14:00 AM,10:34:00 AM,dark,enriched
PV8_D_37_O2,PV8_D,P. verrucosa,8,6,D1,37,10:14:00 AM,10:34:00 AM,dark,enriched
PV11_D_37_O2,PV11_D,P. verrucosa,11,10,D1,37,10:14:00 AM,10:34:00 AM,dark,enriched
PV21_D_37_O2,PV21_D,P. verrucosa,21,3,D1,37,10:14:00 AM,10:34:00 AM,dark,control
PV29_D_37_O2,PV29_D,P. verrucosa,29,4,D1,37,10:14:00 AM,10:34:00 AM,dark,control
PV30_D_37_O2,PV30_D,P. verrucosa,30,1,D1,37,10:14:00 AM,10:34:00 AM,dark,control
PV32_D_37_O2,PV32_D,P. verrucosa,32,5,D1,37,10:14:00 AM,10:34:00 AM,dark,control
BLANK1_D_37_O2,BLANK1_D,P. verrucosa,BLANK,8,D1,37,10:14:00 AM,10:34:00 AM,dark,BLANK
BLANK2_D_37_O2,BLANK2_D,P. verrucosa,BLANK,7,D1,37,10:14:00 AM,10:34:00 AM,dark,BLANK
PV3_D_38_O2,PV3_D,P. verrucosa,3,2,D1,38,10:50:00 AM,11:10:00 AM,dark,enriched
PV6_D_38_O2,PV6_D,P. verrucosa,6,9,D1,38,10:50:00 AM,11:10:00 AM,dark,enriched
PV8_D_38_O2,PV8_D,P. verrucosa,8,6,D1,38,10:50:00 AM,11:10:00 AM,dark,enriched
PV11_D_38_O2,PV11_D,P. verrucosa,11,10,D1,38,10:50:00 AM,11:10:00 AM,dark,enriched
PV21_D_38_O2,PV21_D,P. verrucosa,21,3,D1,38,10:50:00 AM,11:10:00 AM,dark,control
PV29_D_38_O2,PV29_D,P. verrucosa,29,4,D1,38,10:50:00 AM,11:10:00 AM,dark,control
PV30_D_38_O2,PV30_D,P. verrucosa,30,1,D1,38,10:50:00 AM,11:10:00 AM,dark,control
PV32_D_38_O2,PV32_D,P. verrucosa,32,5,D1,38,10:50:00 AM,11:10:00 AM,dark,control
BLANK1_D_38_O2,BLANK1_D,P. verrucosa,BLANK,8,D1,38,10:50:00 AM,11:10:00 AM,dark,BLANK
BLANK2_D_38_O2,BLANK2_D,P. verrucosa,BLANK,7,D1,38,10:50:00 AM,11:10:00 AM,dark,BLANK
PV3_D_39_O2,PV3_D,P. verrucosa,3,2,D1,39,11:30:00 AM,11:50:00 AM,dark,enriched
PV6_D_39_O2,PV6_D,P. verrucosa,6,9,D1,39,11:30:00 AM,11:50:00 AM,dark,enriched
PV8_D_39_O2,PV8_D,P. verrucosa,8,6,D1,39,11:30:00 AM,11:50:00 AM,dark,enriched
PV11_D_39_O2,PV11_D,P. verrucosa,11,10,D1,39,11:30:00 AM,11:50:00 AM,dark,enriched
PV21_D_39_O2,PV21_D,P. verrucosa,21,3,D1,39,11:30:00 AM,11:50:00 AM,dark,control
PV29_D_39_O2,PV29_D,P. verrucosa,29,4,D1,39,11:30:00 AM,11:50:00 AM,dark,control
PV30_D_39_O2,PV30_D,P. verrucosa,30,1,D1,39,11:30:00 AM,11:50:00 AM,dark,control
PV32_D_39_O2,PV32_D,P. verrucosa,32,5,D1,39,11:30:00 AM,11:50:00 AM,dark,control
BLANK1_D_39_O2,BLANK1_D,P. verrucosa,BLANK,8,D1,39,11:30:00 AM,11:50:00 AM,dark,BLANK
BLANK2_D_39_O2,BLANK2_D,P. verrucosa,BLANK,7,D1,39,11:30:00 AM,11:50:00 AM,dark,BLANK
PV3_L_20_O2,PV3_L,P. verrucosa,3,2,L1,20,12:57:00 PM,1:17:00 PM,light,enriched
PV6_L_20_O2,PV6_L,P. verrucosa,6,5,L1,20,12:57:00 PM,1:17:00 PM,light,enriched
PV8_L_20_O2,PV8_L,P. verrucosa,8,4,L1,20,12:57:00 PM,1:17:00 PM,light,enriched
PV11_L_20_O2,PV11_L,P. verrucosa,11,6,L1,20,12:57:00 PM,1:17:00 PM,light,enriched
PV21_L_20_O2,PV21_L,P. verrucosa,21,10,L1,20,12:57:00 PM,1:17:00 PM,light,control
PV29_L_20_O2,PV29_L,P. verrucosa,29,3,L1,20,12:57:00 PM,1:17:00 PM,light,control
PV30_L_20_O2,PV30_L,P. verrucosa,30,7,L1,20,12:57:00 PM,1:17:00 PM,light,control
PV32_L_20_O2,PV32_L,P. verrucosa,32,9,L1,20,12:57:00 PM,1:17:00 PM,light,control
BLANK1_L_20_O2,BLANK1_L,P. verrucosa,BLANK,8,L1,20,12:57:00 PM,1:17:00 PM,light,BLANK
BLANK2_L_20_O2,BLANK2_L,P. verrucosa,BLANK,1,L1,20,12:57:00 PM,1:17:00 PM,light,BLANK
