"","individual.ID","temp.Cat","treatment","Temp.C","umol.chl.ug.hr","rate.type","light_dark","fragment.ID"
"220","PV7",39,"enriched",38.8788571428571,26.0175661681408,"R","dark","PV7_D"
"223","PV10",20,"enriched",20.1951020408163,11.0463573538032,"R","dark","PV10_D"
"224","PV18",20,"control",19.9238775510204,25.7443034227153,"R","dark","PV18_D"
"225","PV20",20,"control",19.980612244898,25.81036419769,"R","dark","PV20_D"
"226","PV22",20,"control",20.0742040816327,12.542356345945,"R","dark","PV22_D"
"227","PV24",20,"control",20.0370612244898,10.1110550172647,"R","dark","PV24_D"
"228","PV4",20,"enriched",20.1530816326531,8.48885426808832,"R","dark","PV4_D"
"229","PV5",20,"enriched",20.1988163265306,17.1002297209915,"R","dark","PV5_D"
"230","PV9",20,"enriched",20.2010408163265,13.2756267998453,"R","dark","PV9_D"
"233","PV10",22,"enriched",22.1609795918367,13.4386037005408,"R","dark","PV10_D"
"234","PV18",22,"control",21.9568571428571,22.2897934477508,"R","dark","PV18_D"
"235","PV20",22,"control",22.0110612244898,26.7016213380455,"R","dark","PV20_D"
"236","PV22",22,"control",22.0162448979592,15.1061285719295,"R","dark","PV22_D"
"237","PV24",22,"control",21.9207551020408,10.3471900074428,"R","dark","PV24_D"
"238","PV4",22,"enriched",22.0567346938776,9.1845513623633,"R","dark","PV4_D"
"239","PV5",22,"enriched",22.0771020408163,15.4370248061739,"R","dark","PV5_D"
"240","PV9",22,"enriched",22.1126734693878,12.9195218313121,"R","dark","PV9_D"
"243","PV10",24,"enriched",24.3141,15.8760865563072,"R","dark","PV10_D"
"244","PV18",24,"control",24.14142,24.1466606664188,"R","dark","PV18_D"
"245","PV20",24,"control",24.23906,31.0678008817654,"R","dark","PV20_D"
"246","PV22",24,"control",24.26382,18.3239846514781,"R","dark","PV22_D"
"247","PV24",24,"control",24.17066,11.6755157954253,"R","dark","PV24_D"
"248","PV4",24,"enriched",24.17588,10.6016775927799,"R","dark","PV4_D"
"249","PV5",24,"enriched",24.2643,17.34004650997,"R","dark","PV5_D"
