"","tank.number","Date.Time","Temp"
"134",1,2019-10-15 06:08:00,25.319
"135",1,2019-10-15 06:38:00,25.319
"136",1,2019-10-15 07:08:00,25.222
"137",1,2019-10-15 07:38:00,25.222
"138",1,2019-10-15 08:08:00,25.222
"139",1,2019-10-15 08:38:00,25.125
"140",1,2019-10-15 09:08:00,25.125
"141",1,2019-10-15 09:38:00,25.222
"142",1,2019-10-15 10:08:00,25.319
"143",1,2019-10-15 10:38:00,25.416
"144",1,2019-10-15 11:08:00,25.61
"145",1,2019-10-15 11:38:00,25.902
"146",1,2019-10-15 12:08:00,26.195
"147",1,2019-10-15 12:38:00,26.39
"148",1,2019-10-15 13:08:00,26.683
"149",1,2019-10-15 13:38:00,26.977
"150",1,2019-10-15 14:08:00,27.173
"151",1,2019-10-15 14:38:00,27.272
"152",1,2019-10-15 15:08:00,27.37
"153",1,2019-10-15 15:38:00,27.567
"154",1,2019-10-15 16:08:00,27.665
"155",1,2019-10-15 16:38:00,27.862
"156",1,2019-10-15 17:08:00,27.961
"157",1,2019-10-15 17:38:00,28.159
"158",1,2019-10-15 18:08:00,28.258
"159",1,2019-10-15 18:38:00,28.357
"160",1,2019-10-15 19:08:00,28.258
"161",1,2019-10-15 19:38:00,28.159
"162",1,2019-10-15 20:08:00,28.06
"163",1,2019-10-15 20:38:00,27.961
"164",1,2019-10-15 21:08:00,27.764
"165",1,2019-10-15 21:38:00,27.665
"166",1,2019-10-15 22:08:00,27.567
"167",1,2019-10-15 22:38:00,27.468
"168",1,2019-10-15 23:08:00,27.37
"169",1,2019-10-15 23:38:00,27.272
"170",1,2019-10-16 00:08:00,27.075
"171",1,2019-10-16 00:38:00,27.075
"172",1,2019-10-16 01:08:00,26.977
"173",1,2019-10-16 01:38:00,26.879
"174",1,2019-10-16 02:08:00,26.781
"175",1,2019-10-16 02:38:00,26.683
"176",1,2019-10-16 03:08:00,26.585
"177",1,2019-10-16 03:38:00,26.585
"178",1,2019-10-16 04:08:00,26.488
"179",1,2019-10-16 04:38:00,26.39
"180",1,2019-10-16 05:08:00,26.292
"181",1,2019-10-16 05:38:00,26.292
"182",1,2019-10-16 06:08:00,26.195
"183",1,2019-10-16 06:38:00,26.097
"184",1,2019-10-16 07:08:00,26.097
"185",1,2019-10-16 07:38:00,26
"186",1,2019-10-16 08:08:00,26
"187",1,2019-10-16 08:38:00,25.902
"188",1,2019-10-16 09:08:00,25.902
"189",1,2019-10-16 09:38:00,25.902
"190",1,2019-10-16 10:08:00,26
"191",1,2019-10-16 10:38:00,26
"192",1,2019-10-16 11:08:00,26.195
"193",1,2019-10-16 11:38:00,26.488
"194",1,2019-10-16 12:08:00,26.683
"195",1,2019-10-16 12:38:00,26.781
"196",1,2019-10-16 13:08:00,27.173
"197",1,2019-10-16 13:38:00,27.468
"198",1,2019-10-16 14:08:00,27.665
"199",1,2019-10-16 14:38:00,27.961
