"","fragment.ID","treatment","rate.type","block","E","Eh","lnc","Th","Topt"
"1","PV1_D","enriched","Dark Respiration",1,0.101779136066294,3.08189885751122,0.36238857414576,316.556346421272,307.366332777535
"2","PV1_L","enriched","Gross Photosynthesis",1,0.216797474350488,2.78248659146155,0.832411894757442,310.156800025492,302.963602400267
"3","PV10_D","enriched","Dark Respiration",3,0.181891611255002,3.03800875262231,0.409470504029376,314.376288683891,306.839050899563
"4","PV10_L","enriched","Gross Photosynthesis",3,0.0878084439981779,9.05789975845072,0.816532946061097,310.415821676494,306.23054602959
"5","PV11_D","enriched","Dark Respiration",3,0.107649591299981,2.67188073625253,0.282773723481795,317.839430813951,307.831523435805
"6","PV11_L","enriched","Gross Photosynthesis",3,0.287908703756399,2.63503972122228,1.12753944463466,308.668922394271,302.264660017621
"7","PV12_D","enriched","Dark Respiration",3,0.14774869401385,6.26820109198127,0.425884140281736,313.142742109088,308.200370997319
"8","PV12_L","enriched","Gross Photosynthesis",3,0.11299547286673,6.97994407088734,0.904366818965732,310.560792227718,305.744653462742
"9","PV13_D","enriched","Dark Respiration",4,0.133295078387372,3.176911385699,0.448197057695128,315.981820075609,307.728447214058
"10","PV13_L","enriched","Gross Photosynthesis",4,0.227120510551746,3.84407570616348,0.923504319249541,310.367682208079,304.501801850228
"11","PV14_D","enriched","Dark Respiration",4,0.0979771578239568,5.69984776935779,0.349924364514145,314.201942018116,308.275007755654
"12","PV14_L","enriched","Gross Photosynthesis",4,0.182034847585922,4.19698266609347,0.851752169037024,310.744205678942,304.72766884931
"13","PV15_D","enriched","Dark Respiration",4,0.113799074862835,5.85010772764075,0.349959143851769,313.484479155645,307.908989217706
"14","PV15_L","enriched","Gross Photosynthesis",4,0.117322126724425,4.22555186330516,0.900197215902045,310.767499096864,303.916499031449
"15","PV16_D","enriched","Dark Respiration",4,0.0733850314619006,4.34568245667272,0.332395142719839,314.608637287755,306.826717034572
"16","PV16_L","enriched","Gross Photosynthesis",4,0.308387852260785,1.96235020193225,0.920885143715604,308.845644404069,301.965030084449
"17","PV17_D","control","Dark Respiration",5,0.104875053140684,3.67162868512962,0.358072801336966,315.498211501063,307.466564450263
"18","PV17_L","control","Gross Photosynthesis",5,0.245965334902407,3.02820660147047,0.753029630193025,309.936771665978,303.442504941002
"19","PV18_D","control","Dark Respiration",5,0.104793890697779,3.23189697915427,0.345431366633863,314.795763433144,306.069089267514
"20","PV18_L","control","Gross Photosynthesis",5,0.189568096250559,5.2261256336228,0.602737207135192,310.166333728908,305.048003200538
"21","PV19_D","control","Dark Respiration",5,0.106423491286516,1.66890109638002,0.276924055228447,320.608292643816,306.952230086421
"22","PV19_L","control","Gross Photosynthesis",5,0.219951401725928,4.514300813508,0.670006632282035,309.668405723625,304.321000901034
"23","PV2_D","enriched","Dark Respiration",1,0.173434289839123,2.88625173065875,0.505114496521644,314.211982742958,306.307431454361
"24","PV2_L","enriched","Gross Photosynthesis",1,0.219593265556137,5.65786580362808,0.918270060494949,310.064817243295,305.434041260277
"25","PV20_D","control","Dark Respiration",5,0.161142220847224,3.62397757228084,0.433028278140641,314.517591156226,307.461726858958
"26","PV20_L","control","Gross Photosynthesis",5,0.157525605539605,10.1541248873242,0.746018708380656,310.177603264054,306.824427129584
"27","PV21_D","control","Dark Respiration",6,0.08886464948108,4.70641338038456,0.291738919358384,315.35770454468,308.322472596217
"28","PV21_L","control","Gross Photosynthesis",6,0.218578910238389,4.10198369966178,0.627157972465354,309.798760909701,304.102353668973
"29","PV22_D","control","Dark Respiration",6,0.125741143796552,4.31317773861107,0.368353283005221,315.062353008445,308.258021246739
"30","PV22_L","control","Gross Photosynthesis",6,0.209302432185765,3.60179835575085,0.740864940430412,310.203282063516,303.918348017484
"31","PV23_D","control","Dark Respiration",6,0.173982982761389,1.84385091540674,0.340960183037795,315.377562369741,305.200958536963
"32","PV23_L","control","Gross Photosynthesis",6,0.2929832870609,2.91589330114201,0.641252908918287,309.03943062179,302.972373624373
"33","PV24_D","control","Dark Respiration",6,0.164253405098123,3.37254952356999,0.4441836839711,315.22543976815,307.853604182989
"34","PV24_L","control","Gross Photosynthesis",6,0.161127916887259,8.00702867314132,0.732472898537181,310.337020978205,306.360036913112
"35","PV25_D","control","Dark Respiration",7,0.11646195258912,6.29278121436077,0.539813789924571,314.365340427353,309.080148151497
"36","PV25_L","control","Gross Photosynthesis",7,0.185510970018519,5.35471897413111,0.782872903585448,310.737972231334,305.650639907459
"37","PV26_D","control","Dark Respiration",7,0.105793166658945,4.29428251543752,0.330686735104601,314.548282150081,307.408201671284
"38","PV26_L","control","Gross Photosynthesis",7,0.335136244277237,2.86835772148105,0.746174572048553,308.855852974345,303.164162708991
"39","PV27_D","control","Dark Respiration",7,0.0973226100809465,6.00081261265067,0.292953133191911,314.039020894607,308.329013316294
"40","PV27_L","control","Gross Photosynthesis",7,0.219517878114272,3.33882585883556,0.656894479214555,310.04366198,303.594254432226
"41","PV28_D","control","Dark Respiration",7,0.107201310493568,7.02848289284897,0.349075542667692,313.408203573975,308.466742404916
"42","PV28_L","control","Gross Photosynthesis",7,0.194199228593602,3.71277839358685,0.50284197755594,310.980770112598,304.609544637196
"43","PV29_D","control","Dark Respiration",8,0.0845020374995253,6.47836473782971,0.222007939632666,314.865200975239,309.259777426246
"44","PV29_L","control","Gross Photosynthesis",8,0.027936963019164,7.48736306325296,0.390705601587086,310.905779148916,304.809892215903
"45","PV3_D","enriched","Dark Respiration",1,0.139474173809361,4.67627805430466,0.590263464396498,314.26311330956,308.049251784556
