"","fragment.ID","treatment","rate.type","block","E","Eh","lnc","Th","Topt","Pmax"
"1","PV1_D","Enriched","Dark Respiration",1,0.101779136088404,3.08189886302111,0.362388574127178,316.556346410641,34.2163327791742,0.434313843445409
"2","PV1_L","Enriched","Gross Photosynthesis",1,0.216797468082338,2.78248666508514,0.832411889698741,310.156800090575,29.8136024775254,0.857122575950597
"3","PV10_D","Enriched","Dark Respiration",3,0.181891609682724,3.03800878014814,0.40947050353675,314.376288689357,33.6890509211151,0.524489043194248
"4","PV10_L","Enriched","Gross Photosynthesis",3,0.0878084426553873,9.05789968686225,0.816532946290409,310.415821684995,33.0805459985729,0.885524785278693
"5","PV11_D","Enriched","Dark Respiration",3,0.107649594628784,2.67188054361361,0.282773725338761,317.839431100637,34.6815233340567,0.359382992285364
"6","PV11_L","Enriched","Gross Photosynthesis",3,0.287908712318774,2.6350397009218,1.12753945019301,308.668922290129,29.1146599950798,1.12688365169551
"7","PV12_D","Enriched","Dark Respiration",3,0.147748693968963,6.26820116538623,0.425884140063734,313.142742084537,35.0503710144289,0.570282891754135
"8","PV12_L","Enriched","Gross Photosynthesis",3,0.112995472393027,6.97994405630563,0.904366819024273,310.56079223166,32.5946534541903,0.982560136411634
"9","PV13_D","Enriched","Dark Respiration",4,0.133295079432736,3.17691134110943,0.448197058084599,315.981820105594,34.578447188358,0.549432285886082
"10","PV13_L","Enriched","Gross Photosynthesis",4,0.22712051214745,3.84407564562498,0.923504320626752,310.3676822037,31.3518018057057,1.01740344432111
"11","PV14_D","Enriched","Dark Respiration",4,0.0979771571982854,5.69984797439776,0.349924364254773,314.201941916936,35.1250078054995,0.445052057276465
"12","PV14_L","Enriched","Gross Photosynthesis",4,0.182034853245102,4.19698248319736,0.851752172388737,310.744205670972,31.5776687333925,0.936621550998489
"13","PV15_D","Enriched","Dark Respiration",4,0.113799076086412,5.85010764077521,0.349959143950049,313.484479174974,34.7589891915109,0.455852655271856
"14","PV15_L","Enriched","Gross Photosynthesis",4,0.117322120867609,4.22555203789028,0.900197212889743,310.767499106546,30.7664991407075,0.943395292650244
"15","PV16_D","Enriched","Dark Respiration",4,0.0733850319763161,4.34568248060871,0.332395142645574,314.608637253368,33.6767170465205,0.386566276954131
"16","PV16_L","Enriched","Gross Photosynthesis",4,0.30838783656231,1.96235027701576,0.920885126345869,308.845644699564,28.815030200585,0.861403945982364
"17","PV17_D","Control","Dark Respiration",5,0.104875053623429,3.67162862803507,0.358072801607295,315.498211550618,34.3165644216569,0.439100710403117
"18","PV17_L","Control","Gross Photosynthesis",5,0.245965338430078,3.02820657540997,0.753029631971556,309.936771634041,30.2925049211369,0.803246968878618
"19","PV18_D","Control","Dark Respiration",5,0.10479389428593,3.23189677709767,0.345431369795123,314.795763533475,32.9190890817572,0.404338182479188
"20","PV18_L","Control","Gross Photosynthesis",5,0.189568096883516,5.22612563338706,0.602737207091832,310.166333726332,31.8980032032082,0.707926378587476
"21","PV19_D","Control","Dark Respiration",5,0.106423489779584,1.66890114909439,0.27692405348911,320.608292472931,33.802230104968,0.315934750928995
"22","PV19_L","Control","Gross Photosynthesis",5,0.219951398220467,4.51430088118032,0.670006630668898,309.668405744542,31.1710009425172,0.764991341645177
"23","PV2_D","Enriched","Dark Respiration",1,0.173434291273707,2.88625169107037,0.505114497345003,314.211982753279,33.157431424028,0.600302230712289
"24","PV2_L","Enriched","Gross Photosynthesis",1,0.219593264744499,5.65786580397722,0.918270060487394,310.064817247128,32.2840412587216,1.0538888952968
"25","PV20_D","Control","Dark Respiration",5,0.161142221601333,3.62397754620081,0.433028278586771,314.517591154896,34.3117268359953,0.556476322788067
"26","PV20_L","Control","Gross Photosynthesis",5,0.157525603397567,10.1541251290898,0.746018707701617,310.177603266841,33.67442718092,0.883179279840021
"27","PV21_D","Control","Dark Respiration",6,0.0888646492745066,4.70641352192478,0.291738918951432,315.35770444546,35.1724726507371,0.375198054692862
"28","PV21_L","Control","Gross Photosynthesis",6,0.218578913396501,4.10198368547934,0.627157973206779,309.798760889662,30.9523536670875,0.710439231536689
"29","PV22_D","Control","Dark Respiration",6,0.125741144386329,4.31317773900634,0.368353282800191,315.062353002522,35.108021250674,0.482842826712916
"30","PV22_L","Control","Gross Photosynthesis",6,0.209302436157597,3.60179828760498,0.740864942817886,310.20328203514,30.7683479626857,0.808344679058477
"31","PV23_D","Control","Dark Respiration",6,0.173982981865182,1.84385092187488,0.34096018223194,315.377562390575,32.0509585493851,0.375615387432674
"32","PV23_L","Control","Gross Photosynthesis",6,0.292983287202893,2.91589332299585,0.641252907983481,309.039430624874,29.8223736507679,0.678704143985146
"33","PV24_D","Control","Dark Respiration",6,0.164253404480433,3.3725495434611,0.444183683911806,315.225439756926,34.7036041901509,0.574337799043481
"34","PV24_L","Control","Gross Photosynthesis",6,0.161127918256666,8.00702859066985,0.732472898789467,310.337020978449,33.2100368922963,0.859199391392843
"35","PV25_D","Control","Dark Respiration",7,0.116461952305725,6.29278131121917,0.539813789691274,314.36534039801,35.9301481793486,0.666234827805019
"36","PV25_L","Control","Gross Photosynthesis",7,0.185510969829356,5.35471891458486,0.782872904024575,310.737972241595,32.5006398774767,0.900618637215255
"37","PV26_D","Control","Dark Respiration",7,0.105793162309774,4.29428284427915,0.330686733970793,314.548281978525,34.2582018128997,0.415955008557702
"38","PV26_L","Control","Gross Photosynthesis",7,0.335136245607886,2.86835770400038,0.746174573581336,308.855852956112,30.0141626888533,0.794011423277502
"39","PV27_D","Control","Dark Respiration",7,0.0973226105833781,6.00081256851251,0.292953133172273,314.039020914123,35.1790133112482,0.388958667375288
"40","PV27_L","Control","Gross Photosynthesis",7,0.219517879766518,3.338825842292,0.656894480131899,310.043661965498,30.4442544188203,0.71350393706198
"41","PV28_D","Control","Dark Respiration",7,0.107201310420215,7.0284828461275,0.349075542750086,313.408203589316,35.3167423945143,0.459268003616879
"42","PV28_L","Control","Gross Photosynthesis",7,0.194199226395779,3.71277843331239,0.502841976551336,310.980770121949,31.4595446628934,0.584097107342751
"43","PV29_D","Control","Dark Respiration",8,0.0845020376514578,6.47836459278258,0.22200793981148,314.865201039114,36.1097773957861,0.316002956290148
"44","PV29_L","Control","Gross Photosynthesis",8,0.0279369634441944,7.48736296919715,0.390705601834697,310.905779159315,31.6598921806446,0.407084353104253
"45","PV3_D","Enriched","Dark Respiration",1,0.139474170805479,4.67627823025068,0.590263463888518,314.263113259298,34.8992518587668,0.716237628771524
"46","PV3_L","Enriched","Gross Photosynthesis",1,0.151177203337321,6.08178376093179,0.817326333570887,311.159209125724,33.0539290174679,0.927209697418981
"47","PV30_D","Control","Dark Respiration",8,0.0981353245757721,4.80279833638589,0.295525757956556,316.151424599622,36.2081935610797,0.400459980237213
"48","PV30_L","Control","Gross Photosynthesis",8,0.23183304962286,3.42590181967563,0.621976062593034,309.772024132874,30.415747525772,0.68268365176202
"49","PV31_D","Control","Dark Respiration",8,0.0991448484831633,7.59458682802136,0.4051467359367,312.975999723153,35.0897354770223,0.50538611450231
"50","PV31_L","Control","Gross Photosynthesis",8,0.193049901918128,4.32912381185319,0.700606540944519,310.661840374842,31.7322830540206,0.795744974036209
"51","PV32_D","Control","Dark Respiration",8,0.0817840781004889,6.40291910717956,0.299907588479759,314.538339183622,35.702421317178,0.386685010063368
"52","PV32_L","Control","Gross Photosynthesis",8,0.140808996997066,3.75333534747313,0.531272668534227,310.924336390761,30.7333442370876,0.57808925951668
"53","PV4_D","Enriched","Dark Respiration",1,0.131569054948507,3.76507105890699,0.367306859776674,315.800840808341,35.2514630634761,0.484793439844467
"54","PV4_L","Enriched","Gross Photosynthesis",1,0.221882109277127,6.10074481634812,0.80720539456509,310.018296136299,32.4811497025975,0.95262322520008
"55","PV5_D","Enriched","Dark Respiration",2,0.124753021365391,4.03773751114793,0.412649354255155,315.718638292373,35.4026090858632,0.528691178080239
"56","PV5_L","Enriched","Gross Photosynthesis",2,0.0920789443325552,7.55327190045511,0.91851172106599,310.428794903478,32.5196602037491,0.982407912406464
"57","PV6_D","Enriched","Dark Respiration",2,0.0954191794739149,5.01065396189953,0.321850616544008,315.008930468604,35.2706002507717,0.413849075323631
"58","PV6_L","Enriched","Gross Photosynthesis",2,0.232075980050096,3.89074156177698,0.821214791930092,310.031463707155,31.1178125021222,0.9110913366138
"59","PV7_D","Enriched","Dark Respiration",2,0.178214360751282,2.5959071410078,0.462595221876499,314.930651191378,33.4207393501424,0.558760155012431
"60","PV7_L","Enriched","Gross Photosynthesis",2,0.22085998333057,3.3956737890157,0.927922884970749,310.095932945597,30.5731383759686,0.989630318996219
"61","PV8_D","Enriched","Dark Respiration",2,0.0815210965783359,7.27877290121143,0.27373646956839,314.672076236326,36.354232640464,0.368234320909603
"62","PV8_L","Enriched","Gross Photosynthesis",2,0.126945976930419,8.45288297860235,0.644247097272303,310.722903327277,33.5079450200442,0.749643554426109
"63","PV9_D","Enriched","Dark Respiration",3,0.139373422692456,3.51884548799675,0.395785164453725,314.016080336378,33.3489923614684,0.484964985287038
"64","PV9_L","Enriched","Gross Photosynthesis",3,0.142247380429996,8.88787491015909,0.775925993579239,310.054432329963,33.1112487708841,0.88787792824163
