"","individual.ID","temp.Cat","treatment","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID"
"85","PV29",37,"control",36.8572040816327,0.367497897911831,"R","dark","PV29_D"
"86","PV3",37,"enriched",36.8717142857143,0.921254255089522,"R","dark","PV3_D"
"87","PV30",37,"control",36.9401224489796,0.469854057832352,"R","dark","PV30_D"
"88","PV32",37,"control",36.6340612244898,0.461816690885336,"R","dark","PV32_D"
"89","PV6",37,"enriched",36.7548775510204,0.475188427484875,"R","dark","PV6_D"
"90","PV8",37,"enriched",36.6736326530612,0.434586178256372,"R","dark","PV8_D"
"93","PV11",38,"enriched",38.0915918367347,0.359794265011491,"R","dark","PV11_D"
"94","PV21",38,"control",38.0779795918367,0.355907444859043,"R","dark","PV21_D"
"95","PV29",38,"control",38.0641836734694,0.295074171895148,"R","dark","PV29_D"
"96","PV3",38,"enriched",38.1017551020408,0.806038450073675,"R","dark","PV3_D"
"97","PV30",38,"control",38.2048163265306,0.426996722146912,"R","dark","PV30_D"
"98","PV32",38,"control",37.9142448979592,0.380627212441182,"R","dark","PV32_D"
"99","PV6",38,"enriched",37.9127142857143,0.387598102885673,"R","dark","PV6_D"
"100","PV8",38,"enriched",38.2564081632653,0.366962305833732,"R","dark","PV8_D"
"103","PV11",39,"enriched",39.0563673469388,0.349596089925212,"R","dark","PV11_D"
"104","PV21",39,"control",38.9345306122449,0.329319097851316,"R","dark","PV21_D"
"105","PV29",39,"control",39.0065102040816,0.27003817361126,"R","dark","PV29_D"
"106","PV3",39,"enriched",38.9307142857143,0.741685024432505,"R","dark","PV3_D"
"107","PV30",39,"control",38.9984285714286,0.423169346612225,"R","dark","PV30_D"
"108","PV32",39,"control",38.7342244897959,0.35496463531756,"R","dark","PV32_D"
"109","PV6",39,"enriched",38.7416530612245,0.396510728497796,"R","dark","PV6_D"
"110","PV8",39,"enriched",39.0943469387755,0.333981329574655,"R","dark","PV8_D"
"113","PV1",20,"enriched",20.071,0.317586972580953,"R","dark","PV1_D"
"114","PV13",20,"enriched",20.0547142857143,0.410975832884572,"R","dark","PV13_D"
"115","PV17",20,"control",20.0495510204082,0.331659708640916,"R","dark","PV17_D"
"116","PV19",20,"control",20.1027551020408,0.215889404879463,"R","dark","PV19_D"
"117","PV2",20,"enriched",20.0409795918367,0.453317574222654,"R","dark","PV2_D"
"118","PV23",20,"control",19.8510612244898,0.200476632709351,"R","dark","PV23_D"
"119","PV25",20,"control",20.3396734693878,0.56451965743222,"R","dark","PV25_D"
"120","PV7",20,"enriched",19.8533469387755,0.342000244078536,"R","dark","PV7_D"
"123","PV1",22,"enriched",21.8827551020408,0.341907930260657,"R","dark","PV1_D"
"124","PV13",22,"enriched",21.8926326530612,0.42437876717359,"R","dark","PV13_D"
"125","PV17",22,"control",21.8092040816327,0.312285847900692,"R","dark","PV17_D"
"126","PV19",22,"control",21.897306122449,0.206740249306593,"R","dark","PV19_D"
"127","PV2",22,"enriched",21.7693469387755,0.465039459349302,"R","dark","PV2_D"
"128","PV23",22,"control",21.7409795918367,0.238394087461255,"R","dark","PV23_D"
"129","PV25",22,"control",21.9585714285714,0.612280316317882,"R","dark","PV25_D"
"130","PV7",22,"enriched",21.6704897959184,0.417456625829606,"R","dark","PV7_D"
"133","PV1",24,"enriched",23.9300204081633,0.387323366476262,"R","dark","PV1_D"
"134","PV13",24,"enriched",23.9142857142857,0.471708170318541,"R","dark","PV13_D"
"135","PV17",24,"control",23.8946326530612,0.353664188835897,"R","dark","PV17_D"
"136","PV19",24,"control",24.0180816326531,0.250853421953949,"R","dark","PV19_D"
"137","PV2",24,"enriched",23.8748163265306,0.516816409358438,"R","dark","PV2_D"
"138","PV23",24,"control",23.7541836734694,0.287019078405083,"R","dark","PV23_D"
"139","PV25",24,"control",23.9768367346939,0.633181217743413,"R","dark","PV25_D"
"140","PV7",24,"enriched",23.7412857142857,0.478871473142903,"R","dark","PV7_D"
"143","PV1",28,"enriched",28.1642448979592,0.455901525421349,"R","dark","PV1_D"
"144","PV13",28,"enriched",28.1490816326531,0.601553344750066,"R","dark","PV13_D"
"145","PV17",28,"control",28.0672857142857,0.475877376189378,"R","dark","PV17_D"
"146","PV19",28,"control",28.1618571428571,0.31661967530666,"R","dark","PV19_D"
"147","PV2",28,"enriched",28.137387755102,0.671607217791568,"R","dark","PV2_D"
"148","PV23",28,"control",28.0591428571429,0.368385553256894,"R","dark","PV23_D"
"149","PV25",28,"control",28.2702040816327,0.749353643319578,"R","dark","PV25_D"
"150","PV7",28,"enriched",27.9887959183673,0.611399003394521,"R","dark","PV7_D"
"153","PV1",30,"enriched",30.0987346938775,0.451923709086635,"R","dark","PV1_D"
"154","PV13",30,"enriched",29.9944693877551,0.63792172490325,"R","dark","PV13_D"
"155","PV17",30,"control",30.0380816326531,0.486012027473519,"R","dark","PV17_D"
"156","PV19",30,"control",30.1620612244898,0.327367680758033,"R","dark","PV19_D"
"157","PV2",30,"enriched",29.9840408163265,0.721793649108673,"R","dark","PV2_D"
"158","PV23",30,"control",29.9365918367347,0.429852531896231,"R","dark","PV23_D"
"159","PV25",30,"control",30.1279795918367,0.729907568667271,"R","dark","PV25_D"
"160","PV7",30,"enriched",29.8851632653061,0.623276023885866,"R","dark","PV7_D"
"163","PV1",32,"enriched",31.897641509434,0.525352310534079,"R","dark","PV1_D"
"164","PV13",32,"enriched",31.8545,0.651660165400072,"R","dark","PV13_D"
"165","PV17",32,"control",31.8675740740741,0.489638190743014,"R","dark","PV17_D"
"166","PV19",32,"control",31.9411481481481,0.358486099281115,"R","dark","PV19_D"
